lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.008692,2.66521e-93,1.0575787154282976e-107,1.0575787154282974e-99,2.66521e-99
0.00878,2.58587e-93,1.0056303196959077e-107,1.0056303196959076e-99,2.58587e-99
0.008867,2.5105e-93,9.572547095939497e-108,9.572547095939496e-100,2.5105e-99
0.008956,2.4364e-93,9.106282601586917e-108,9.106282601586915e-100,2.4364e-99
0.009045,2.36519e-93,8.667015927512127e-108,8.667015927512125e-100,2.36519e-99
0.009136,2.29521e-93,8.24386646740484e-108,8.243866467404839e-100,2.29521e-99
0.009227,2.22796e-93,7.845254760984195e-108,7.845254760984193e-100,2.2279599999999995e-99
0.00932,2.16194e-93,7.46160947255107e-108,7.461609472551068e-100,2.1619399999999998e-99
0.009412,2.09916e-93,7.10399109065766e-108,7.103991090657659e-100,2.09916e-99
0.009507,2.03686e-93,6.756081729461022e-108,6.756081729461021e-100,2.03686e-99
0.009602,1.97699e-93,6.428383419103655e-108,6.428383419103654e-100,1.97699e-99
0.009698,1.91886e-93,6.116452862824385e-108,6.116452862824385e-100,1.9188600000000002e-99
0.009795,1.86242e-93,5.819550604944603e-108,5.819550604944603e-100,1.86242e-99
0.009893,1.80762e-93,5.536965565207479e-108,5.536965565207478e-100,1.8076199999999999e-99
0.009991,1.75495e-93,5.270690715699781e-108,5.27069071569978e-100,1.75495e-99
0.010092,1.7027800000000001e-93,5.01215807862591e-108,5.012158078625909e-100,1.70278e-99
0.010192,1.65315e-93,4.771051828660328e-108,4.771051828660328e-100,1.65315e-99
0.010295,1.60403e-93,4.537122316677348e-108,4.5371223166773475e-100,1.6040299999999999e-99
0.010397,1.5572900000000001e-93,4.318909559959093e-108,4.3189095599590926e-100,1.55729e-99
0.010502,1.51104e-92,4.107264165191162e-107,4.107264165191161e-99,1.51104e-98
0.010606,1.4670199999999998e-92,3.9097905449037796e-107,3.9097905449037794e-99,1.46702e-98
0.010713,1.4234999999999998e-92,3.718398786019169e-107,3.718398786019169e-99,1.4234999999999998e-98
0.010819,1.38207e-92,3.539781876583101e-107,3.5397818765831006e-99,1.3820699999999999e-98
0.010928,1.3411199999999998e-92,3.3667197712003925e-107,3.366719771200392e-99,1.3411199999999998e-98
0.011037,1.3017799999999999e-92,3.203732248065021e-107,3.2037322480650205e-99,1.3017799999999999e-98
0.011148,1.26328e-92,3.0473785295110876e-107,3.0473785295110873e-99,1.26328e-98
0.011259,1.2262799999999999e-92,2.9000848853339994e-107,2.900084885333999e-99,1.2262799999999999e-98
0.011372,1.1900899999999998e-92,2.758841859435718e-107,2.758841859435718e-99,1.1900899999999998e-98
0.011485,1.15531e-92,2.6257733509190412e-107,2.6257733509190407e-99,1.15531e-98
0.0116,1.1212899999999999e-92,2.4981739389924206e-107,2.49817393899242e-99,1.1212899999999999e-98
0.011716,1.08831e-92,2.3769201735804448e-107,2.3769201735804444e-99,1.08831e-98
0.011833,1.0563499999999999e-92,2.2617198547293527e-107,2.2617198547293525e-99,1.0563499999999998e-98
0.011951,1.02536e-92,2.152229507868647e-107,2.1522295078686467e-99,1.0253599999999999e-98
0.012071,9.95087e-93,2.047364910279288e-107,2.0473649102792877e-99,9.95087e-99
0.012191,9.6599e-93,1.948563983610173e-107,1.9485639836101727e-99,9.6599e-99
0.012314,9.37332e-93,1.8531725058446165e-107,1.8531725058446163e-99,9.37332e-99
0.012436,9.10016e-93,1.7640394953349836e-107,1.7640394953349832e-99,9.10016e-99
0.012561,8.83117e-93,1.6779944371052804e-107,1.67799443710528e-99,8.831169999999999e-99
0.012686,8.57268e-93,1.596937434662862e-107,1.5969374346628618e-99,8.57268e-99
0.012814,8.31835e-93,1.5187575617298824e-107,1.5187575617298823e-99,8.318349999999999e-99
0.012941,8.07583e-93,1.4456800795185728e-107,1.4456800795185727e-99,8.07583e-99
0.013071,7.83726e-93,1.3752046376966942e-107,1.375204637696694e-99,7.837259999999999e-99
0.013202,7.60627e-93,1.3083169971329741e-107,1.308316997132974e-99,7.60627e-99
0.013334,7.3826e-93,1.244827401890068e-107,1.2448274018900677e-99,7.3826e-99
0.013467,7.16603e-93,1.1845614763685632e-107,1.184561476368563e-99,7.166029999999999e-99
0.013602,6.95478e-93,1.1269341986201465e-107,1.1269341986201464e-99,6.95478e-99
0.013738,6.75025e-93,1.0722437818518034e-107,1.0722437818518032e-99,6.75025e-99
